file,commit,type,error_line
0900800.html,0900800fbab,UndefinedSymbol,
0ddfa41.html,0ddfa412ee9,DeadCode,
1a3c8e3.html,1a3c8e3d840,UndeclaredIdentifier,
1b48bb3.html,1b48bb3c1af,UninitializedVariable,14
1f46088.html,1f46088b38d,UndeclaredIdentifier,14
2a6cbfa.html,2a6cbfa00e0,MemoryLeak,
3407ecc.html,3407eccc321,UndefinedSymbol,11
35ae2e2.html,35ae2e259e4,MemoryLeak,
4202d5f.html,4202d5fee3e,UndeclaredIdentifier,9
4945115.html,4945115b2e7,FileDescriptorLeak,19
56d9881.html,56d9881993f,DeadCode,
581635e.html,581635e28f1,UndeclaredIdentifier,
6338509.html,6338509eb37,UndeclaredIdentifier,
664e3aa.html,664e3aac6dd,BufferOverflow,
9327311.html,9327311d30f,NullDereference,
97ecbec.html,97ecbec1237,BehaviorViolation,
b51c893.html,b51c8939837,UndeclaredIdentifier,
b833f06.html,b833f064550,IncompatibleType,
bbeb051.html,bbeb0516cf0,UseAfterFree,
c76df14.html,c76df14dfb4,OSCommandInjection,
d0040a0.html,d0040a07aec,UndeclaredIdentifier,11
d05e574.html,d05e574ec26,NullDereference,
dbafef1.html,dbafef17dd1,BufferOverflow,
0301ffa.html,0301ffab3d9,UnusedVariable,
061fd0a.html,061fd0a353e,UndefinedSymbol,
192c35f.html,192c35f6eb2,UnusedVariable,
199501f.html,199501f2a00,NullDereference,22
1b487ea.html,1b487ea8a69,NullDereference,15
2631486.html,2631486f1bf,MemoryLeak,
5275b1e.html,5275b1e49f6,UndeclaredIdentifier,
5cd6461.html,5cd6461b6fb,IncompatibleType,
9575518.html,95755181b82,BehaviorViolation,
b273d66.html,b273d665181,UninitializedVariable,17
b62bd7b.html,b62bd7b261b,UnusedVariable,
b7ebc61.html,b7ebc61b54f,UndeclaredIdentifier,
bc0ffc0.html,bc0ffc0e971,UseAfterFree,44
cc3f20b.html,cc3f20b9bdf,BehaviorViolation,
cf1f2ac.html,cf1f2ace391,UndefinedSymbol,
df7b657.html,df7b6577c6a,BehaviorViolation,
ebee301.html,ebee301c8b0,UndefinedSymbol,
eef2317.html,eef2317b9f5,UninitializedVariable,
0988c4c.html,0988c4c7fb5,FatalAssertionViolation,
0dc77b6.html,0dc77b6dabe,DoubleOpOnResource,
0f8f809.html,0f8f8094d28,OutOfBoundsRead,
1c17e4d.html,1c17e4d4437,UninitializedVariable,25
1f758a4.html,1f758a4341a,BehaviorViolation,
208d898.html,208d89843b7,WeakAssertionViolation,32
218ad12.html,218ad12f42e,MemoryLeak,
221ac32.html,221ac329e93,WriteOnReadOnly,37
242f1a3.html,242f1a34377,UndefinedSymbol,
2f02c15.html,2f02c15a5d9,UndefinedSymbol,
30e0532.html,30e053248da,UninitializedVariable,
36855dc.html,36855dcfc98,UnusedVariable,3
472a474.html,472a474c663,DoubleOpOnResource,
51fd36f.html,51fd36f3fad,NumericTruncation,43
60e233a.html,60e233a5660,BufferOverflow,27
6252547.html,6252547b8a7,NullDereference,
63878ac.html,63878acfafb,FatalAssertionViolation,
6515e48.html,6515e48932c,UndefinedSymbol,11
657e964.html,657e9649e74,FatalAssertionViolation,
6651791.html,66517915e09,UndeclaredIdentifier,17
6e2b757.html,6e2b75740be,UseAfterFree,
76baeeb.html,76baeebf7df,NullDereference,
7acf6cd.html,7acf6cd80b2,UninitializedVariable,9
7c6048b.html,7c6048b7c83,UndefinedSymbol,
809e660.html,809e660f438,DeadCode,7
8c82962.html,8c8296223f3,BufferOverflow,
91ea820.html,91ea8207168,OutOfBoundsRead,39
ae249b5.html,ae249b5fa27,FatalAssertionViolation,
bc8cec0.html,bc8cec0dff0,UninitializedVariable,28
c708c57.html,c708c57e247,OutOfBoundsRead,19
d530db0.html,d530db0db90,VoidPointerDereference,19
d549f55.html,d549f55f2e1,FatalAssertionViolation,
d6c7e11.html,d6c7e113959,IncompatibleType,19
d7e9711.html,d7e9711760a,DoubleLock,
e1fbd92.html,e1fbd9210d5,IncompatibleType,16
e39363a.html,e39363a9def,UninitializedVariable,18
e67bc51.html,e67bc51e574,WrongFunArgNum,12
e68bb91.html,e68bb91baa0,MultipleDefinitions,10
eb91f1d.html,eb91f1d0a53,WeakAssertionViolation,
ee3f34e.html,ee3f34e8572,NullDereference,
f3d83e2.html,f3d83e24154,BufferOverflow,
f48ec1d.html,f48ec1d7885,UndeclaredIdentifier,10
f7ab9b4.html,f7ab9b407b3,NullDereference,55
2d22902.html,2d22902d080,BehaviorViolation,
2db384a.html,2db384a21d6,IncompatibleType,14
3024821.html,30248214c7f,IntegerOverflow,
31873ec.html,31873ec707d,IntegerOverflow,
53be0f3.html,53be0f3399e,BehaviorViolation,
7336e6d.html,7336e6df070,UndeclaredIdentifier,
831016b.html,831016b09f7,WrongFunArgNum,16
8c4377d.html,8c4377dd635,WrongFunArgNum,16
a7fc1f8.html,a7fc1f83c81,StackBasedBufferOverflow,
b8e79dc.html,b8e79dce897,UndeclaredIdentifier,
e30bfed.html,e30bfedce4d,UndeclaredIdentifier,21
f87c808.html,f87c80889fe,IntegerOverflow,15
fc3c76f.html,fc3c76fc164,IncompatibleType,
fdac8f6.html,fdac8f6cece,UndeclaredIdentifier,9
